x,y,weight
azula,zuko,6
aang,katara,5
sokka,aang,4
azula,iroh,4
katara,aang,4
zuko,iroh,4
iroh,zuko,3
aang,aang,3
zuko,aang,3
iroh,kuei,2
zuko,azula,2
aang,momo,2
sokka,suki,2
sokka,kuei,2
aang,azula,2
sokka,katara,2
ty lee,azula,1
toph,kyoshi,1
toph,aang,1
sokka,azula,1
sokka,toph,1
sokka,iroh,1
sokka,general how,1
sokka,zuko,1
katara,zuko,1
pathik,aang,1
kuei,kyoshi,1
kuei,katara,1
katara,toph,1
katara,sokka,1
katara,ozai,1
iroh,iroh,1
iroh,azula,1
azula,long feng,1
azula,kuei,1
azula,aang,1
aang,zuko,1
aang,toph,1
zuko,zuko,1
