character,pagerank_score
Aang,0.15508738785617246
Sokka,0.13388118697102594
Katara,0.12557939032299179
Zuko,0.07032501256492077
Toph,0.04515033745346284
Iroh,0.031049801041539718
Azula,0.016027560216356977
Actor Zuko,0.012723578984248418
Jet,0.0113202144999058
Suki,0.010531339252223678
Mai,0.008172387859105965
Actress Azula,0.007944032348461805
Actress Katara,0.007839566019048849
Zhao,0.007374811601122876
Hakoda,0.007266932119408051
Roku,0.006913192766041261
Ty Lee,0.0062218852754767975
Actress Aang,0.005951693283463536
Ozai,0.005900655539721543
Male Fire Nation soldier,0.005874419072406143
Female Fire Nation soldier,0.005874419072406143
Long Feng,0.005495838458797375
Actor Sokka,0.005243128506166881
Yue,0.005080349005314276
Actor Iroh,0.004936914264448032
Mechanist,0.004780713549388013
Yon Rha,0.0046406404868539865
Kuei,0.004448449900323247
Wu,0.0043668656340739
Haru,0.004143388279244069
Bato,0.004072840346468784
Xin Fu,0.0040313482177824584
Chong,0.0039021114476015333
Pakku,0.0038645632851086738
Teo,0.0038410098613317484
Bumi,0.003632724662853657
Gyatso,0.0036101098268915004
Jeong Jeong,0.003568939889453325
Shyu,0.003536500384742182
Sozin,0.0034257108162577495
Due,0.0033812879752260936
Tho,0.003256073724863007
Pathik,0.003175779857927291
Canyon guide,0.003163703860223862
Chey,0.0030485962286427343
Zei,0.002989318129337388
Young Zuko,0.0029625170350430397
Smellerbee,0.0029299870612165095
Yu,0.002922720280256075
Zhang leader,0.0028899563334137896
Joo Dee,0.002816127801246497
Sun Warrior chief,0.0028027148260211803
Hama,0.0027138656749396816
Haru's mother,0.002577839209267681
June,0.002577153592179405
Piandao,0.0024973381252888322
Meng,0.0024783364543565748
The Boulder,0.0024137311835461077
Lee,0.0024110659167634356
Lao,0.002407020172660604
Tashi,0.002340055006127259
Pirate captain,0.002334991917462317
Kya,0.0023155704390618826
Gansu,0.002272822084032713
Ursa,0.0022710679098184436
Wan Shi Tong,0.0022435267575057153
Gan Jin tribesman,0.0022423701672858315
Fong,0.0022291340304271333
Oyaji,0.0021928676397143894
Gow,0.0021825780404541462
Arnook,0.002175177595016407
Herbalist,0.0021360699420296557
Chan,0.002117205107785714
Ming,0.002105132211560195
Ying,0.002102526577985182
Kay-fon,0.0020980176804917755
Jin,0.0020135571812188195
Ticket lady,0.002001993009169198
Senlin Village leader,0.001981578367815891
Great Fire Sage,0.0018818100343669197
Calm man,0.0018733935950018064
Huu,0.0018709081602009308
Quon,0.0018605583377874406
Chit Sang,0.0018551190922651744
Pipsqueak,0.0018378719884219092
Hahn,0.001826263895452375
Tyro,0.0018189430427725493
Tong,0.0017767973227094235
Warden Poon,0.0017758713578778184
The Duke,0.001758295810404954
Fire Nation man,0.001744931895341896
Earth Kingdom soldier,0.0017352031076257554
Earthbender captain,0.0017022844849186231
Jee,0.0016977706267313547
Shoji,0.001687298948924533
Kwan,0.001684296778493475
Song,0.00167971519398228
Dock,0.0016488636491157225
Xu,0.0016439346597042963
General Sung,0.0016397132910568862
Headmaster,0.0016189338424959419
Than,0.0016068748687865552
Actor Ozai,0.001603904455319832
Qin,0.0016030679096276155
Yon Rha's mother,0.001598380472007036
Poi,0.0015789906097748215
King Bumi,0.0015702904957630515
Mother Superior,0.00156956731084472
Kanna,0.001540757224534603
Yagoda,0.0015300803335808579
Shinu,0.0015289563440081641
Pao,0.0015137801023119943
Pasang,0.0014949089090210942
Head of Dai Li,0.0014584537677876219
Koh,0.001454837843195965
Fung,0.0014541446303664076
General How,0.0014489195798476962
Ruon-Jian,0.001447166622874097
Appa,0.0014069951920249412
Momo,0.0013945685111009837
Lin Yee,0.0013855157551684355
Ukano,0.0013711491188897517
Tycho,0.0013503870649330088
Lily,0.001348942410063237
Yangchen,0.0013401083755472099
Kenji,0.0013401083755472099
Poppy,0.001335849643970556
Malu,0.0013335272126698996
Sela,0.001332331632183934
Ham Ghao,0.0013272227468162858
Old Sweepy,0.0013269460497925892
Red dragon,0.001303630149779301
Sha-Mo,0.0013021462418686802
On Ji,0.0012994597977833591
Dai Li agent,0.0012444586266687778
Fire Navy officer,0.001237920279131082
Song's mother,0.0012364491549741673
Shuzumu,0.0012275484626534492
Music teacher,0.0012253789078984548
Koko,0.0012187977450211444
Pong,0.0012121747019535089
Moku,0.0012097311473429585
Southern Water Tribe boy,0.0011981791148638968
Ping,0.0011822130460787403
Bujing,0.0011330043241902794
Broadsword man,0.0011112749267553304
Kyoshi,0.0011106494402496998
Hide,0.0011106494402496998
Storyteller,0.0011106494402496998
Avatar Roku,0.0011106494402496998
Southern Raiders commander,0.0011067610685680618
Ghashiun,0.0011040263971820643
Tax collector,0.0010925162448933276
Ding,0.0010925162448933276
Macmu-Ling,0.0010925162448933276
Gan Jin Leader,0.001073272428173911
Cabbage merchant,0.001051359833196694
Azulon,0.0010167459940768281
Lieutenant Jee,0.0009984896449473943
Aunt Wu,0.0009984896449473943
Mongke,0.0009984896449473943
Baboon spirit,0.0009959199726009447
Sensitive ruffian,0.0009959199726009447
Scary prisoner,0.0009959199726009447
Southern Water Tribe girl,0.0009959199726009447
Gan Jin man,0.0009959199726009447
Blue dragon,0.0009939757867601258
Actress Yue,0.0009930858740250124
Yung,0.0009893388097236343
Joo Dee replacement,0.0009893388097236343
Actor Toph,0.0009892969295333092
Man with Red Shoes,0.0009868533749227586
Michi,0.0008811905049521896
Longshot,0.0008811905049521896
Blue Spirit,0.0008811905049521896
The Hippo,0.0008811905049521896
Princess Yue,0.0008811905049521896
Ta Min,0.0008811905049521896
Unnamed Fire Nation boy,0.0008811905049521896
Actor Jet,0.0008811905049521896
