name,coefficient
hama,1.000
tyro,1.000
actor zuko,1.000
longshot,1.000
xu,1.000
the duke,1.000
pasang,1.000
actor iroh,1.000
actress azula,1.000
poppy,1.000
blue spirit,1.000
mongke,1.000
jee,1.000
moku,1.000
actor ozai,1.000
pong,1.000
koko,1.000
ying,1.000
warden poon,1.000
ding,1.000
earthbender captain,1.000
kwan,1.000
kuruk,1.000
actress katara,0.917
june,0.821
piandao,0.711
kanna,0.700
meng,0.700
hahn,0.700
ty lee,0.690
pipsqueak,0.683
oyaji,0.667
yagoda,0.667
blue dragon,0.667
chey,0.667
actor sokka,0.667
lin yee,0.667
red dragon,0.667
shyu,0.648
pathik,0.600
teo,0.600
mechanist,0.600
koh,0.600
long feng,0.591
haru,0.577
the boulder,0.575
gyatso,0.550
general how,0.550
sozin,0.549
joo dee,0.548
suki,0.545
avatar roku,0.545
bato,0.537
kyoshi,0.526
mai,0.523
fong,0.500
ursa,0.500
princess yue,0.500
wan shi tong,0.500
kay-fon,0.500
young zuko,0.500
actress aang,0.500
lao,0.500
haru's mother,0.500
tho,0.500
azulon,0.500
ming,0.500
song,0.500
sela,0.500
shinu,0.500
lily,0.500
qin,0.500
pirate captain,0.500
pakku,0.484
hakoda,0.476
yue,0.471
kuei,0.467
arnook,0.467
wu,0.450
jeong jeong,0.426
gan jin leader,0.417
lu ten,0.417
bumi,0.400
roku,0.382
zhao,0.382
great fire sage,0.367
xin fu,0.367
azula,0.359
jin,0.357
chong,0.333
huu,0.333
smellerbee,0.321
momo,0.311
tong,0.300
jet,0.293
zuko,0.258
toph,0.255
lee,0.250
yu,0.250
appa,0.231
due,0.200
gansu,0.200
ozai,0.191
zhang leader,0.167
zei,0.167
the hippo,0.167
iroh,0.139
katara,0.117
sokka,0.113
canyon guide,0.083
aang,0.056
calm man,0.000
yangchen,0.000
chan,0.000
tashi,0.000
mung,0.000
mother superior,0.000
yung,0.000
quon,0.000
pao,0.000
senlin village leader,0.000
cabbage merchant,0.000
actor jet,0.000
chit sang,0.000
actor toph,0.000
headmaster,0.000
fung,0.000
yon rha's mother,0.000
yon rha,0.000
fire nation man,0.000
general sung,0.000
herbalist,0.000
sun warrior chief,0.000
ham ghao,0.000
southern water tribe girl,0.000
southern raiders commander,0.000
ticket lady,0.000
ukano,0.000
on ji,0.000
ruon-jian,0.000
joo dee replacement,0.000
shuzumu,0.000
lieutenant jee,0.000
iio,0.000
gan jin tribesman,0.000
flyer distribution man,0.000
fire navy officer,0.000
gow,0.000
kya,0.000
brainwasher,0.000
ghashiun,0.000
sha-mo,0.000
scary prisoner,0.000
ta min,0.000
qin lee,0.000
kenji,0.000
actress yue,0.000
old sweepy,0.000
michi,0.000
